Driver,Team,Compound,Stint,PrevSector1,PrevSector2,PrevSector3,PrevLapTime,Sector2Time
0,9,2,1.0,29.62,38.091,25.447,93.158,38.034
0,9,2,1.0,29.733,38.034,25.606,93.373,38.062
0,9,2,1.0,29.543,38.062,25.454,93.059,37.726
0,9,2,1.0,29.783,37.726,25.337,92.846,37.717
0,9,2,1.0,29.879,37.717,25.418,93.014,37.648
0,9,2,1.0,29.816,37.648,25.475,92.939,37.603
0,9,2,1.0,29.718,37.603,25.477,92.798,37.646
0,9,2,1.0,29.786,37.646,25.501,92.933,37.679
0,9,2,1.0,29.765,37.679,25.629,93.073,37.723
0,9,2,1.0,29.81,37.723,25.448,92.981,37.38
0,9,2,1.0,29.743,37.38,25.444,92.567,37.424
0,9,2,1.0,29.864,37.424,25.481,92.769,37.413
0,9,2,1.0,29.682,37.413,25.443,92.538,37.395
0,9,2,1.0,29.539,37.395,25.331,92.265,37.652
0,9,2,1.0,29.57,37.652,25.956,93.178,37.832
0,9,2,1.0,29.588,37.832,27.453,94.873,37.694
0,9,2,1.0,30.198,37.694,27.431,95.323,41.761
0,9,2,1.0,34.216,41.761,28.642,104.619,38.624
0,9,2,1.0,31.395,38.624,26.511,96.53,37.757
0,9,2,1.0,30.17,37.757,25.719,93.646,37.685
0,9,2,1.0,29.764,37.685,25.637,93.086,37.613
0,9,2,1.0,29.758,37.613,25.52,92.891,38.141
0,9,2,1.0,29.631,38.141,26.188,93.96,38.761
0,9,2,1.0,29.917,38.761,26.934,95.612,43.153
0,9,1,2.0,30.626,43.153,29.992,103.771,41.494
0,9,1,2.0,58.472,41.494,28.493,128.459,41.29
0,9,1,2.0,32.027,41.29,28.409,101.726,41.744
0,9,1,2.0,32.255,41.744,29.272,103.271,41.623
0,9,1,2.0,32.454,41.623,29.152,103.229,42.125
0,9,1,2.0,32.626,42.125,29.553,104.304,42.557
0,9,1,2.0,32.729,42.557,29.534,104.82,42.763
0,9,1,2.0,33.108,42.763,29.345,105.216,43.02
0,9,1,2.0,33.118,43.02,29.064,105.202,42.03
0,9,1,2.0,32.953,42.03,28.092,103.075,40.87
0,9,2,3.0,31.87,40.87,27.533,100.273,38.585
0,9,2,3.0,53.115,38.585,25.978,117.678,36.956
0,9,2,3.0,29.039,36.956,24.894,90.889,36.947
0,9,2,3.0,28.644,36.947,25.124,90.715,36.742
0,9,2,3.0,28.921,36.742,24.795,90.458,36.486
0,9,2,3.0,28.831,36.486,24.809,90.126,36.502
0,9,2,3.0,28.967,36.502,25.271,90.74,36.6
0,9,2,3.0,29.201,36.6,24.605,90.406,36.438
0,9,2,3.0,29.113,36.438,24.683,90.234,36.306
0,9,2,3.0,29.107,36.306,24.735,90.148,36.381
0,9,2,3.0,29.132,36.381,24.555,90.068,36.352
0,9,2,3.0,29.038,36.352,24.57,89.96,36.201
